sof-firmware 1.8-1
sshfs 3.7.2-2
stacer 1.1.0-1
subversion 1.14.1-3
sudo 1.9.8.p2-1
sweet-gtk-theme-dark 2.0.r42.21ea24f-1
systemd 249.4-2
systemd-guest-user 33.2-1
systemd-sysvcompat 249.4-2
tar 1.34-1
terminus-font 4.49.1-2
texinfo 6.8-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-sans 1:4.301-2
ttf-font-awesome 5.15.4-1
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tumbler 4.16.0-3
unace 2.5-11
unarchiver 1.10.7-4
unarj 2.65-1
unrar 1:6.0.7-1
unzip 6.0-14
update-grub 0.0.1-7
usbutils 014-1
util-linux 2.37.2-1
vim 8.2.3441-1
which 2.21-5
wmctrl 1.07-6
xarchiver 0.5.4.17-1
xautolock 2.2-6
xbindkeys 1.8.7-2
xcape 1.2-4
xclip 0.13-3
xcursor-sweet 20200612-1
xdg-desktop-portal 1.10.1-1
xdg-desktop-portal-gtk 1.10.0-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20210903.1-1
xfsprogs 5.13.0-1
xorg-server 1.20.13-2
xorg-server-xephyr 1.20.13-2
xorg-xbacklight 1.2.3-2
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkill 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xsetroot 1.1.2-2
xorg-xwininfo 1.1.5-2
xsel 1.2.0.20190821-1
xterm 369-1
xz 5.2.5-2
zenity 3.32.0+55+gd7bedff-1
zip 3.0-9
